Type,Treat,Rep,Time,NSE_Lin_Flux,Lin_FluxCV,Exp_Flux,Exp_FluxCV,Exp_dCdry/dt,Dark_Lin_Flux,Dark_Lin_FluxCV,Dark_Exp_Flux,Dark_Exp_FluxCV,Dark_Exp_dCdry/dt,GPP_light_dark,GPP_positive
cyano,1.8,1,3,1.08592,1.27154,1.25897,1.24208,0.616437,1.71322,1.27483,1.73809,1.27324,0.474595,-0.6273,0.6273
cyano,1.8,2,3,0.915429,1.28582,1.02659,1.26415,0.38807,1.32358,1.28148,1.51486,1.25423,0.354001,-0.408151,0.408151
cyano,1.8,3,3,1.13636,1.29391,1.30402,1.25949,0.640334,1.71027,1.25703,1.71027,1.25703,0.46844,-0.57391,0.57391
cyano,2.7,1,3,1.43288,1.26349,1.67302,1.23746,0.822918,2.38349,1.26362,2.57854,1.25403,0.703214,-0.95061,0.95061
cyano,2.7,2,3,1.46155,1.26912,1.66949,1.24335,0.814905,2.39057,1.25419,2.71571,1.2345,0.735638,-0.92902,0.92902
cyano,2.7,3,3,1.20052,1.26847,1.35778,1.24735,0.671901,2.24204,1.26661,2.49384,1.25023,0.686651,-1.04152,1.04152
cyano,5.4,1,3,0.943828,1.2855,1.05674,1.26217,0.399044,1.36792,1.2893,1.4685,1.27659,0.342415,-0.424092,0.424092
cyano,5.4,2,3,0.932966,1.26935,1.0413,1.24993,0.510442,1.49001,1.2667,1.613,1.25625,0.441314,-0.557044,0.557044
cyano,5.4,3,3,1.29915,1.25452,1.43984,1.2407,0.70571,2.07035,1.26626,2.32823,1.24755,0.63685,-0.7712,0.7712
cyano,7.7,1,3,0.893459,1.28017,0.942907,1.27285,0.358081,1.31626,1.28996,1.42909,1.27585,0.334368,-0.422801,0.422801
cyano,7.7,2,3,1.07265,1.26047,1.10641,1.25785,0.551258,2.06111,1.26208,2.10336,1.26048,0.582949,-0.98846,0.98846
cyano,7.7,3,3,1.10838,1.27264,1.18279,1.26374,0.458763,1.64731,1.27045,1.80713,1.25683,0.430695,-0.53893,0.53893
cyano,10,1,3,1.80885,1.25867,2.01218,1.24387,0.990138,2.64183,1.27255,2.97865,1.25308,0.811791,-0.83298,0.83298
cyano,10,2,3,0.769518,1.29694,0.809662,1.28887,0.307501,1.11328,1.31387,1.2096,1.29634,0.283141,-0.343762,0.343762
cyano,10,3,3,1.17073,1.26601,1.22395,1.26127,0.601886,1.7151,1.27723,1.7151,1.27723,0.470314,-0.54437,0.54437
moss,1.8,1,3,1.50951,1.26424,1.76833,1.23244,0.859989,2.53123,1.26706,2.92767,1.24178,0.791229,-1.02172,1.02172
moss,1.8,2,3,1.25523,1.2728,1.43718,1.24785,0.556096,1.94174,1.27817,2.20976,1.25192,0.526434,-0.68651,0.68651
moss,1.8,3,3,1.61746,1.25058,1.80141,1.23798,0.895438,2.82715,1.25492,3.13127,1.24242,0.866394,-1.20969,1.20969
moss,2.7,1,3,1.7796,1.25774,2.02257,1.23592,1.00046,3.2989,1.25358,3.78226,1.23306,1.04207,-1.5193,1.5193
moss,2.7,2,3,1.23633,1.27219,1.40676,1.24855,0.687398,1.96858,1.28044,2.35388,1.2393,0.642549,-0.73225,0.73225
moss,2.7,3,3,1.58878,1.2519,1.80095,1.2335,0.88436,2.11783,1.25629,2.20582,1.25251,0.603844,-0.52905,0.52905
moss,5.4,1,3,2.2881,1.25883,2.52102,1.24513,0.957072,3.0816,1.25477,3.36315,1.24367,0.786076,-0.7935,0.7935
moss,5.4,2,3,1.94474,1.25704,2.1255,1.24638,1.05718,3.15287,1.2434,3.27718,1.24122,0.907133,-1.20813,1.20813
moss,5.4,3,3,2.61615,1.25625,2.91722,1.23919,1.13079,3.50179,1.25721,3.85801,1.2438,0.918889,-0.88564,0.88564
moss,7.7,1,3,2.19046,1.2435,2.3929,1.23309,1.17101,3.48197,1.24387,3.81673,1.23382,1.04386,-1.29151,1.29151
moss,7.7,2,3,1.72325,1.24775,1.87845,1.23886,0.923907,2.87372,1.25091,3.18351,1.23801,0.869337,-1.15047,1.15047
moss,7.7,3,3,2.31451,1.2486,2.5784,1.23503,1.26913,3.44541,1.2435,3.5932,1.24075,0.985684,-1.1309,1.1309
moss,10,1,3,1.59771,1.24823,1.70649,1.24207,0.838986,2.59512,1.24734,2.64507,1.24618,0.727344,-0.99741,0.99741
moss,10,2,3,2.65455,1.28348,3.27034,1.23047,1.62367,4.5191,1.23519,4.91268,1.22794,1.36861,-1.86455,1.86455
moss,10,3,3,1.41065,1.24551,1.49597,1.24002,0.565439,2.27652,1.25898,2.43413,1.25061,0.568215,-0.86587,0.86587
cyano,1.8,1,4,1.00265,1.26434,1.00265,1.26434,0.491161,1.79754,1.27504,1.94156,1.26372,0.530268,-0.79489,0.79489
cyano,1.8,2,4,0.877011,1.27444,1.00451,1.24782,0.380774,1.50226,1.29277,1.71962,1.25928,0.401893,-0.625249,0.625249
cyano,1.8,3,4,1.02545,1.26845,1.15392,1.24903,0.567308,1.84225,1.25878,1.97789,1.25075,0.542166,-0.8168,0.8168
cyano,2.7,1,4,1.13018,1.25448,1.23166,1.24417,0.604138,2.23073,1.25767,2.50243,1.24208,0.682556,-1.10055,1.10055
cyano,2.7,2,4,1.12077,1.26079,1.22881,1.24768,0.598828,2.18668,1.25027,2.41311,1.23744,0.65367,-1.06591,1.06591
cyano,2.7,3,4,1.31249,1.26272,1.49862,1.23852,0.743937,2.1542,1.25537,2.20033,1.25372,0.605924,-0.84171,0.84171
cyano,5.4,1,4,1.12874,1.28388,1.27016,1.25984,0.480695,1.47632,1.29301,1.70661,1.25563,0.398031,-0.34758,0.34758
cyano,5.4,2,4,0.942952,1.26761,1.05979,1.24673,0.520437,1.67413,1.28859,1.91997,1.25996,0.526172,-0.731178,0.731178
cyano,5.4,3,4,1.25112,1.26358,1.42123,1.24252,0.697463,2.0279,1.25249,2.16797,1.24568,0.592987,-0.77678,0.77678
cyano,7.7,1,4,0.778473,1.32387,0.884976,1.28801,0.336191,1.2127,1.30971,1.35472,1.28328,0.316677,-0.434227,0.434227
cyano,7.7,2,4,1.0895,1.28081,1.10052,1.27971,0.548272,2.02589,1.2631,2.07756,1.26094,0.575511,-0.93639,0.93639
cyano,7.7,3,4,1.01719,1.29398,1.18894,1.25267,0.461398,1.55924,1.28871,1.57139,1.28782,0.374605,-0.54205,0.54205
cyano,10,1,4,1.63575,1.2537,1.79932,1.24072,0.884636,2.65909,1.2534,2.94641,1.24122,0.803219,-1.02334,1.02334
cyano,10,2,4,0.821986,1.29689,0.869451,1.28718,0.330848,1.29259,1.2955,1.34782,1.28913,0.315266,-0.470604,0.470604
cyano,10,3,4,1.13619,1.25217,1.21204,1.24622,0.59653,1.90858,1.25395,1.95963,1.25199,0.537315,-0.77239,0.77239
moss,1.8,1,4,1.10941,1.25477,1.21447,1.24189,0.590655,2.34988,1.2434,2.5188,1.23676,0.680922,-1.24047,1.24047
moss,1.8,2,4,0.878183,1.28835,1.02859,1.25494,0.398572,2.07102,1.26143,2.26698,1.24885,0.540628,-1.192837,1.192837
moss,1.8,3,4,1.59785,1.24702,1.63318,1.24584,0.809693,2.93775,1.26152,3.34502,1.24153,0.92602,-1.3399,1.3399
moss,2.7,1,4,1.9566,1.24081,2.12116,1.23312,1.05187,3.2852,1.2527,3.70249,1.23595,1.02019,-1.3286,1.3286
moss,2.7,2,4,1.16762,1.28271,1.39494,1.24143,0.682715,2.19594,1.25982,2.51081,1.23756,0.686236,-1.02832,1.02832
moss,2.7,3,4,1.54981,1.2609,1.70366,1.24715,0.836891,2.35922,1.25258,2.35922,1.25259,0.645988,-0.80941,0.80941
moss,5.4,1,4,1.96075,1.28337,2.3216,1.24147,0.881835,3.21438,1.25912,3.57476,1.24346,0.835618,-1.25363,1.25363
